persona,phone,listing_id,thread_count,question_count,avg_questions_per_thread,append_rate,debounce_bundle_rate,bypass_rate,timeout_rate,false_positive_threads,false_negative_threads,category_distribution
"Sara — UK expat investor, English",+971501010001,HARNESS_listing_04_413ffb20,2,2,1.0,0.0,0.0,0.5,0.0,0,0,"{""developer_handover"": 1, ""offer"": 1}"
Threading control — category isolation,+971501010030,HARNESS_listing_04_413ffb20,2,3,1.5,0.3333,0.5,0.5,0.0,0,0,"{""fees_and_charges"": 1, ""regulatory_documents"": 1}"
Threading control — post-alert same-category update,+971501010029,HARNESS_listing_04_413ffb20,1,2,2.0,0.5,1.0,0.0,0.0,0,0,"{""fees_and_charges"": 1}"
Threading control — rapid same-category fee gaps,+971501010028,HARNESS_listing_04_413ffb20,1,3,3.0,0.6667,1.0,0.0,0.0,0,1,"{""fees_and_charges"": 1}"
