persona,phone,listing_id,thread_count,question_count,avg_questions_per_thread,append_rate,debounce_bundle_rate,bypass_rate,timeout_rate,false_positive_threads,false_negative_threads,category_distribution
"Sara — UK expat investor, English",+971501010001,HARNESS_listing_04_413ffb20,3,4,1.3333,0.25,0.3333,0.3333,0.0,0,0,"{""fees_and_charges"": 1, ""market_analysis"": 1, ""offer"": 1}"
Threading control — category isolation,+971501010030,HARNESS_listing_04_413ffb20,3,4,1.3333,0.25,0.3333,0.0,0.0,0,0,"{""building_amenities"": 1, ""fees_and_charges"": 1, ""physical_property"": 1}"
Threading control — post-alert same-category update,+971501010029,HARNESS_listing_04_413ffb20,1,2,2.0,0.5,1.0,0.0,0.0,0,0,"{""fees_and_charges"": 1}"
Threading control — rapid same-category fee gaps,+971501010028,HARNESS_listing_04_413ffb20,1,4,4.0,0.75,1.0,0.0,0.0,0,0,"{""fees_and_charges"": 1}"
